market,date,sierra_width,databento_width,absolute_difference,sierra_eligible_4_120,databento_eligible_4_120,classification_disagreement
NQ,2023-08-17,99.5,99.5,0.0,True,True,False
NQ,2023-08-18,73.5,73.5,0.0,True,True,False
NQ,2023-08-21,108.0,108.0,0.0,True,True,False
NQ,2023-08-22,94.5,94.5,0.0,True,True,False
NQ,2023-08-23,105.75,105.75,0.0,True,True,False
NQ,2023-08-24,154.75,154.75,0.0,False,False,False
NQ,2023-08-25,62.75,62.75,0.0,True,True,False
NQ,2023-08-28,122.0,122.0,0.0,False,False,False
NQ,2023-08-29,112.25,112.25,0.0,True,True,False
NQ,2023-08-30,90.5,90.5,0.0,True,True,False
NQ,2023-08-31,79.25,79.25,0.0,True,True,False
NQ,2023-09-01,154.0,154.0,0.0,False,False,False
NQ,2023-09-05,60.75,60.75,0.0,True,True,False
NQ,2023-09-06,53.75,53.75,0.0,True,True,False
NQ,2023-09-07,83.5,83.5,0.0,True,True,False
NQ,2023-09-08,101.75,101.75,0.0,True,True,False
NQ,2023-09-11,96.5,96.5,0.0,True,True,False
NQ,2023-09-12,73.25,73.25,0.0,True,True,False
NQ,2023-09-13,68.0,68.0,0.0,True,True,False
NQ,2023-09-14,102.5,102.5,0.0,True,True,False
NQ,2023-09-15,138.5,138.5,0.0,False,False,False
NQ,2023-09-18,92.0,92.0,0.0,True,True,False
NQ,2023-09-19,70.0,70.0,0.0,True,True,False
NQ,2023-09-20,60.25,60.25,0.0,True,True,False
NQ,2023-09-21,91.0,91.0,0.0,True,True,False
NQ,2023-09-22,62.5,62.5,0.0,True,True,False
NQ,2023-09-25,114.0,114.0,0.0,True,True,False
NQ,2023-09-26,82.25,82.25,0.0,True,True,False
NQ,2023-09-27,56.75,56.75,0.0,True,True,False
NQ,2023-09-28,89.75,89.75,0.0,True,True,False
NQ,2023-09-29,67.5,67.5,0.0,True,True,False
NQ,2023-10-02,113.25,113.25,0.0,True,True,False
NQ,2023-10-03,101.25,101.25,0.0,True,True,False
NQ,2023-10-04,85.5,85.5,0.0,True,True,False
NQ,2023-10-05,107.5,107.5,0.0,True,True,False
NQ,2023-10-06,98.75,98.75,0.0,True,True,False
NQ,2023-10-09,113.0,113.0,0.0,True,True,False
NQ,2023-10-10,61.25,61.25,0.0,True,True,False
NQ,2023-10-11,70.0,70.0,0.0,True,True,False
NQ,2023-10-12,50.25,50.25,0.0,True,True,False
NQ,2023-10-13,64.25,64.25,0.0,True,True,False
NQ,2023-10-16,91.25,91.25,0.0,True,True,False
NQ,2023-10-17,91.75,91.75,0.0,True,True,False
NQ,2023-10-18,76.25,76.25,0.0,True,True,False
NQ,2023-10-19,87.75,87.75,0.0,True,True,False
NQ,2023-10-20,75.25,75.25,0.0,True,True,False
NQ,2023-10-23,128.5,128.5,0.0,False,False,False
NQ,2023-10-24,79.5,79.5,0.0,True,True,False
NQ,2023-10-25,144.0,144.0,0.0,False,False,False
NQ,2023-10-26,145.5,145.5,0.0,False,False,False
NQ,2023-10-27,66.0,66.0,0.0,True,True,False
NQ,2023-10-30,141.75,141.75,0.0,False,False,False
NQ,2023-10-31,117.5,117.5,0.0,True,True,False
NQ,2023-11-01,66.25,66.25,0.0,True,True,False
