market,mapping,period,slippage_ticks_per_side,n,gross_mean_r,cost_drag_r,net_mean_r,delta_vs_2011_2017_r
NQ,micro_scale_counterfactual,2022-2023,1,490,0.07326441640894754,0.027154054925568216,0.046110361483379325,0.24783132654978723
NQ,micro_scale_counterfactual,2011-2017,2,1693,-0.03048918393329687,0.20547813735973325,-0.2359673212930301,
NQ,micro_scale_counterfactual,2018-2019,2,488,0.016875347842295812,0.08711643518173694,-0.07024108733944112,0.165726233953589
NQ,micro_scale_counterfactual,2020-2021,2,492,0.055731582957328524,0.041540224106103224,0.0141913588512253,0.2501586801442554
NQ,micro_scale_counterfactual,2022-2023,2,490,0.07326441640894754,0.03258486591068186,0.04067955049826568,0.27664687179129577
NQ,micro_scale_counterfactual,2011-2017,4,1693,-0.03048918393329687,0.27397084981297765,-0.3044600337462745,
NQ,micro_scale_counterfactual,2018-2019,4,488,0.016875347842295812,0.11615524690898259,-0.09927989906668677,0.20518013467958773
NQ,micro_scale_counterfactual,2020-2021,4,492,0.055731582957328524,0.055386965474804296,0.00034461748252422736,0.30480465122879874
NQ,micro_scale_counterfactual,2022-2023,4,490,0.07326441640894754,0.04344648788090914,0.029817928528038398,0.3342779622743129
ES,large_contract,2011-2017,0,1703,-0.050998372180172946,0.014737583255166808,-0.06573595543533975,
ES,large_contract,2018-2019,0,492,0.048473369120745145,0.009607148831218052,0.03886622028952709,0.10460217572486684
ES,large_contract,2020-2021,0,496,0.05030188981552789,0.0059503554026944985,0.04435153441283339,0.11008748984817314
ES,large_contract,2022-2023,0,495,0.04900008034691973,0.004589665311958457,0.04441041503496127,0.11014637047030101
ES,large_contract,2011-2017,1,1703,-0.050998372180172946,0.10684747859995936,-0.1578458507801323,
ES,large_contract,2018-2019,1,492,0.048473369120745145,0.06965182902633088,-0.021178459905585735,0.13666739087454657
ES,large_contract,2020-2021,1,496,0.05030188981552789,0.043140076669535114,0.007161813145992776,0.1650076639261251
ES,large_contract,2022-2023,1,495,0.04900008034691973,0.03327507351169881,0.01572500683522092,0.17357085761535324
ES,large_contract,2011-2017,2,1703,-0.050998372180172946,0.1989573739447519,-0.24995574612492485,
ES,large_contract,2018-2019,2,492,0.048473369120745145,0.12969650922144368,-0.08122314010069853,0.16873260602422632
ES,large_contract,2020-2021,2,496,0.05030188981552789,0.08032979793637572,-0.03002790812084783,0.21992783800407703
ES,large_contract,2022-2023,2,495,0.04900008034691973,0.06196048171143916,-0.012960401364519432,0.23699534476040543
ES,large_contract,2011-2017,4,1703,-0.050998372180172946,0.38317716463433704,-0.43417553681451,
ES,large_contract,2018-2019,4,492,0.048473369120745145,0.24978586961166935,-0.2013125004909242,0.2328630363235858
ES,large_contract,2020-2021,4,496,0.05030188981552789,0.15470924047005694,-0.10440735065452905,0.32976818615998094
ES,large_contract,2022-2023,4,495,0.04900008034691973,0.11933129811091987,-0.07033121776400014,0.36384431905050985
ES,micro_scale_counterfactual,2011-2017,0,1703,-0.050998372180172946,0.14737583255166808,-0.19837420473184103,
ES,micro_scale_counterfactual,2018-2019,0,492,0.048473369120745145,0.09607148831218051,-0.04759811919143537,0.15077608554040567
ES,micro_scale_counterfactual,2020-2021,0,496,0.05030188981552789,0.05950355402694499,-0.009201664211417097,0.18917254052042393
ES,micro_scale_counterfactual,2022-2023,0,495,0.04900008034691973,0.04589665311958457,0.0031034272273351635,0.2014776319591762
ES,micro_scale_counterfactual,2011-2017,1,1703,-0.050998372180172946,0.23948572789646064,-0.2904841000766336,
ES,micro_scale_counterfactual,2018-2019,1,492,0.048473369120745145,0.15611616850729335,-0.1076427993865482,0.18284130069008542
ES,micro_scale_counterfactual,2020-2021,1,496,0.05030188981552789,0.0966932752937856,-0.04639138547825771,0.2440927145983759
